Name,Symbol,Date,Open,High,Low,Close,Volume ETH
Etherium,ETH,22/09/2020,340.31,346.91,335.34,344.21,842731.1288
Etherium,ETH,23/09/2020,344.18,344.65,313.29,320.72,940904.4976
Etherium,ETH,24/09/2020,320.72,353.1,316.67,348.97,1071705.097
Etherium,ETH,25/09/2020,348.97,358,337.58,351.92,860643.7792
Etherium,ETH,26/09/2020,351.93,356.4,345.88,353.92,530879.2076
Etherium,ETH,27/09/2020,353.95,362.14,347.24,357.49,569568.5504
Etherium,ETH,28/09/2020,357.58,368.2,351.7,353.96,757758.4304
Etherium,ETH,29/09/2020,353.91,360.63,350.45,359.79,585143.1689
Etherium,ETH,30/09/2020,359.78,361.5,351.56,359.83,498943.2323
Etherium,ETH,01/10/2020,359.83,370.45,345.51,352.85,758349.3196
Etherium,ETH,02/10/2020,352.83,354.55,334.24,345.6,733571.8421
Etherium,ETH,03/10/2020,345.6,351,343.7,345.95,303595.719
Etherium,ETH,04/10/2020,345.94,354.45,343.81,352.37,343932.9171
Etherium,ETH,05/10/2020,352.34,356.1,348.54,353.62,376740.3069
Etherium,ETH,06/10/2020,353.63,355.1,336.8,340.75,640063.2695
Etherium,ETH,07/10/2020,340.8,342.85,332.18,341.58,541928.8638
Etherium,ETH,08/10/2020,341.58,353.32,334.21,350.95,631794.8756
Etherium,ETH,09/10/2020,350.94,368.33,347.32,365.02,650478.1934
Etherium,ETH,10/10/2020,365.01,378.4,364.71,370.52,591005.3213
Etherium,ETH,11/10/2020,370.51,377.6,368.87,374.16,373318.2378
Etherium,ETH,12/10/2020,374.17,394.8,365.58,386.51,844422.6544
Etherium,ETH,13/10/2020,386.51,387.75,374.51,381.04,645141.9139
Etherium,ETH,14/10/2020,381.05,387.41,373.13,378.69,569557.8294
Etherium,ETH,15/10/2020,378.69,381.79,369.85,377.64,634038.0945
Etherium,ETH,16/10/2020,377.63,379.83,361.18,365.5,654029.364
Etherium,ETH,17/10/2020,365.5,370.46,363.36,368.32,285578.2454
Etherium,ETH,18/10/2020,368.31,378.64,367.1,378.11,323468.471
Etherium,ETH,19/10/2020,378.12,384.32,372.5,379.3,577252.9027
Etherium,ETH,20/10/2020,379.3,380.73,365.27,368.52,617309.8168
Etherium,ETH,21/10/2020,368.53,401.49,367.74,390.38,1221663.638
Etherium,ETH,22/10/2020,390.31,420.73,390.21,413.98,1095897.207
Etherium,ETH,23/10/2020,413.94,419.33,401.3,409.11,727832.3224
Etherium,ETH,24/10/2020,409.19,416.66,407,412.14,419236.8711
Etherium,ETH,25/10/2020,412.14,417.4,402.5,405.86,415586.9761
Etherium,ETH,26/10/2020,405.85,411.11,382.3,392.52,895142.6727
Etherium,ETH,27/10/2020,392.52,410.25,389.9,403.45,754244.3755
Etherium,ETH,28/10/2020,403.41,409.2,380.52,388.23,855275.4688
Etherium,ETH,29/10/2020,388.22,393.72,380.52,387.13,573096.0142
Etherium,ETH,30/10/2020,387.12,391.97,373.29,382.49,771750.7475
Etherium,ETH,31/10/2020,382.59,394.88,379.9,386.46,467453.8105
Etherium,ETH,01/11/2020,386.44,398.29,384.61,396.67,438952.9557
Etherium,ETH,02/11/2020,396.68,404.5,377.92,383.02,779968.5796
Etherium,ETH,03/11/2020,383.01,390,370.23,387.88,752954.3711
Etherium,ETH,04/11/2020,387.88,408.39,376.47,402.49,1157064.351
Etherium,ETH,05/11/2020,402.5,420.4,396.14,416.69,1475139.773
Etherium,ETH,06/11/2020,416.73,458.27,414.76,455.91,1682440.96
Etherium,ETH,07/11/2020,455.91,468.28,424.14,435.21,1653416.596
Etherium,ETH,08/11/2020,435.2,460.1,431.99,454.3,840908.4684
Etherium,ETH,09/11/2020,454.29,459.1,433.09,444.32,1099213.246
Etherium,ETH,10/11/2020,444.32,455,438.7,450.34,866872.4111
Etherium,ETH,11/11/2020,450.34,476.25,449.28,463.09,1205782.843
Etherium,ETH,12/11/2020,463.09,470,451.2,462.39,990776.6291
Etherium,ETH,13/11/2020,462.48,478.01,457.12,476.43,976665.0975
Etherium,ETH,14/11/2020,476.42,477.47,452,460.89,735252.7854
Etherium,ETH,15/11/2020,460.9,462.89,440.19,448.08,665217.5667
Etherium,ETH,16/11/2020,448.07,466,445.45,460.55,812060.4464
Etherium,ETH,17/11/2020,460.51,484.88,459.8,482.15,1151573.375
Etherium,ETH,18/11/2020,482.11,495.31,456.6,478.41,1477696.291
Etherium,ETH,19/11/2020,478.43,480.75,464.86,471.25,817418.5269
Etherium,ETH,20/11/2020,471.26,514.4,470.65,510.12,1516361.907
Etherium,ETH,21/11/2020,510.12,553.32,502.82,552.35,1548851.291
Etherium,ETH,22/11/2020,552.42,580.88,511.28,560.03,1850317.936
Etherium,ETH,23/11/2020,560.03,610.85,550.12,608.58,2076008.848
Etherium,ETH,24/11/2020,608.58,623,585,604.97,1606450.492
Etherium,ETH,25/11/2020,604.98,606,553.83,569.5,1219440.027
Etherium,ETH,26/11/2020,569.38,577.14,481,519.83,2683460.742
Etherium,ETH,27/11/2020,519.83,530.62,493.72,518.68,1088064.281
Etherium,ETH,28/11/2020,518.59,547.94,506.59,537.52,900508.6143
Etherium,ETH,29/11/2020,537.5,576.9,530.32,576.3,855276.4666
Etherium,ETH,30/11/2020,576.32,616.85,570.07,616.66,1501989.454
Etherium,ETH,01/12/2020,616.65,635.7,560,585.26,2163875.814
Etherium,ETH,02/12/2020,585.26,604.93,575,596.89,1069538.656
Etherium,ETH,03/12/2020,596.88,623.44,585.82,615.85,935687.9172
Etherium,ETH,04/12/2020,615.84,620,565.82,567.24,1052452.787
Etherium,ETH,05/12/2020,567.24,597.11,560.88,596.8,701567.9556
Etherium,ETH,06/12/2020,596.82,607.5,583,601.54,602496.9634
Etherium,ETH,07/12/2020,601.59,603.15,584.22,591.28,498329.3759
Etherium,ETH,08/12/2020,591.27,595,549.22,554.94,804443.0072
Etherium,ETH,09/12/2020,554.92,578.08,530.43,573.09,997192.1674
Etherium,ETH,10/12/2020,573.2,575.7,548.11,558.99,608414.5147
Etherium,ETH,11/12/2020,558.99,560.8,535.5,544.43,768921.7832
Etherium,ETH,12/12/2020,544.46,574,543.1,568.04,573913.9531
Etherium,ETH,13/12/2020,568.09,595,563.22,590.7,657794.4616
