Name,Date,Symbol,Open,High,Low,Close,Volume ADA
Cardano,22/09/2020,ADA,0.07989,0.08335,0.07906,0.08146,312840807.6
Cardano,23/09/2020,ADA,0.08148,0.0828,0.07545,0.07663,288788652.5
Cardano,24/09/2020,ADA,0.07663,0.08376,0.07549,0.08254,416112902.6
Cardano,25/09/2020,ADA,0.08254,0.09867,0.08233,0.09693,761770099.4
Cardano,26/09/2020,ADA,0.09691,0.09997,0.09226,0.09547,350666632.3
Cardano,27/09/2020,ADA,0.09541,0.10273,0.09419,0.1013,425402605.4
Cardano,28/09/2020,ADA,0.10132,0.10671,0.09957,0.1003,444510434.1
Cardano,29/09/2020,ADA,0.10026,0.1036,0.09735,0.1011,324750297.3
Cardano,30/09/2020,ADA,0.1011,0.10175,0.09662,0.10136,284886992.4
Cardano,01/10/2020,ADA,0.10136,0.10465,0.09458,0.09804,336851341.1
Cardano,02/10/2020,ADA,0.09803,0.1004,0.08967,0.09286,399944267.6
Cardano,03/10/2020,ADA,0.09285,0.09532,0.09208,0.09328,157830982.1
Cardano,04/10/2020,ADA,0.09332,0.09804,0.09205,0.09686,171939943.5
Cardano,05/10/2020,ADA,0.09684,0.09948,0.09585,0.09738,181150337.1
Cardano,06/10/2020,ADA,0.0974,0.09864,0.09122,0.09289,279075645.9
Cardano,07/10/2020,ADA,0.09287,0.09449,0.08934,0.09374,156895883.2
Cardano,08/10/2020,ADA,0.09372,0.09731,0.08975,0.09632,252697885.8
Cardano,09/10/2020,ADA,0.09632,0.10255,0.09485,0.10129,310310117.3
Cardano,10/10/2020,ADA,0.10133,0.11151,0.10133,0.10493,507111063.7
Cardano,11/10/2020,ADA,0.10488,0.10899,0.10415,0.10648,313077154.2
Cardano,12/10/2020,ADA,0.10652,0.11369,0.10216,0.10945,436930732
Cardano,13/10/2020,ADA,0.10951,0.11428,0.10751,0.10925,399840888.7
Cardano,14/10/2020,ADA,0.10927,0.11238,0.10519,0.10703,336699622.6
Cardano,15/10/2020,ADA,0.10703,0.10782,0.10441,0.10666,221158995.5
Cardano,16/10/2020,ADA,0.10664,0.10733,0.10218,0.10414,224603403.3
Cardano,17/10/2020,ADA,0.10415,0.10739,0.10316,0.10598,159726089.3
