Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
Bitcoin,BTC,02/10/2017 23:59,4470.22998,4377.459961,4395.810059,4409.319824,1431730048,73195646776
Bitcoin,BTC,03/10/2017 23:59,4432.470215,4258.890137,4408.459961,4317.47998,1288019968,71681069637
Bitcoin,BTC,04/10/2017 23:59,4352.310059,4210.419922,4319.370117,4229.359863,1116770048,70225033578
Bitcoin,BTC,05/10/2017 23:59,4362.640137,4164.049805,4229.879883,4328.410156,1161769984,71876277937
Bitcoin,BTC,06/10/2017 23:59,4413.27002,4320.529785,4324.459961,4370.810059,1069939968,72589262957
Bitcoin,BTC,07/10/2017 23:59,4443.879883,4321.049805,4369.350098,4426.890137,906928000,73529314833
Bitcoin,BTC,08/10/2017 23:59,4624.140137,4405.640137,4429.669922,4610.47998,1313869952,76589293760
Bitcoin,BTC,09/10/2017 23:59,4878.709961,4564.25,4614.52002,4772.02002,1968739968,79282158943
Bitcoin,BTC,10/10/2017 23:59,4922.169922,4765.100098,4776.209961,4781.990234,1597139968,79457603224
Bitcoin,BTC,11/10/2017 23:59,4873.72998,4751.629883,4789.25,4826.47998,1222279936,80205238020
Bitcoin,BTC,12/10/2017 23:59,5446.910156,4822,4829.580078,5446.910156,2791610112,90525666972
Bitcoin,BTC,13/10/2017 23:59,5840.299805,5436.850098,5464.160156,5647.209961,3615480064,93864253934
Bitcoin,BTC,14/10/2017 23:59,5837.700195,5591.640137,5643.529785,5831.790039,1669030016,96942498331
Bitcoin,BTC,15/10/2017 23:59,5852.47998,5478.609863,5835.959961,5678.189941,1976039936,94403031755
Bitcoin,BTC,16/10/2017 23:59,5776.22998,5544.209961,5687.569824,5725.589844,2008070016,95203392843
Bitcoin,BTC,17/10/2017 23:59,5800.350098,5472.720215,5741.580078,5605.509766,1821570048,93218297189
Bitcoin,BTC,18/10/2017 23:59,5603.819824,5151.439941,5603.819824,5590.689941,2399269888,92982539106
Bitcoin,BTC,19/10/2017 23:59,5744.350098,5531.060059,5583.740234,5708.52002,1780540032,94954808115
Bitcoin,BTC,20/10/2017 23:59,6060.109863,5627.22998,5708.109863,6011.450195,2354429952,1.00E+11
Bitcoin,BTC,21/10/2017 23:59,6194.879883,5965.069824,5996.790039,6031.600098,2207099904,1.00E+11
Bitcoin,BTC,22/10/2017 23:59,6076.259766,5792.339844,6036.660156,6008.419922,2034630016,99981911326
Bitcoin,BTC,23/10/2017 23:59,6075.589844,5732.470215,6006,5930.319824,2401840128,98695054084
