Name,Date,Symbol,Open,High,Low,Close,Volume SOL
Solana,22/09/2020,SOL,2.7571,3.0107,2.65,2.9082,3416786.33
Solana,23/09/2020,SOL,2.9184,3.09,2.7001,2.8548,2762150.96
Solana,24/09/2020,SOL,2.855,3.2571,2.7804,3.1433,2983701.04
Solana,25/09/2020,SOL,3.1409,3.2766,2.9003,3.1937,2447843.22
Solana,26/09/2020,SOL,3.185,3.25,3.03,3.1287,1357018.72
Solana,27/09/2020,SOL,3.1292,3.1857,2.9819,3.1578,983815.86
Solana,28/09/2020,SOL,3.1557,3.2109,2.908,2.9599,1306134.15
Solana,29/09/2020,SOL,2.9549,3.027,2.8735,2.9505,950875.56
Solana,30/09/2020,SOL,2.9447,2.9838,2.8228,2.8967,722757.83
Solana,01/10/2020,SOL,2.8967,2.9889,2.65,2.8669,1373061.59
Solana,02/10/2020,SOL,2.8667,2.8873,2.42,2.6232,2788493.11
Solana,03/10/2020,SOL,2.6231,2.6708,2.5356,2.5439,547025.23
Solana,04/10/2020,SOL,2.542,2.5898,2.42,2.5202,765399.21
Solana,05/10/2020,SOL,2.5181,2.683,2.4561,2.6522,912587.17
Solana,06/10/2020,SOL,2.6486,2.6604,2.13,2.174,1784025.33
Solana,07/10/2020,SOL,2.1721,2.4083,2.081,2.3005,2087951.2
Solana,08/10/2020,SOL,2.3001,2.4569,2.0123,2.3638,2759189.94
Solana,09/10/2020,SOL,2.3686,2.63,2.303,2.5314,1878523.79
Solana,10/10/2020,SOL,2.5274,2.6056,2.3873,2.3999,1278940.27
Solana,11/10/2020,SOL,2.3988,2.4607,2.3401,2.4227,898764.08
Solana,12/10/2020,SOL,2.4228,2.7044,2.4132,2.5836,2155387.01
Solana,13/10/2020,SOL,2.5826,2.5867,2.336,2.4062,1951031.1
Solana,14/10/2020,SOL,2.4061,2.4424,2.2331,2.3107,1125385.85
Solana,15/10/2020,SOL,2.3108,2.3485,2.1932,2.2682,754909.09
Solana,16/10/2020,SOL,2.2648,2.269,2.1071,2.1398,1546650.13
Solana,17/10/2020,SOL,2.1374,2.2462,2.1107,2.2053,482249.55
Solana,18/10/2020,SOL,2.2031,2.2595,2.1763,2.215,478921.26
Solana,19/10/2020,SOL,2.2137,2.2148,2.05,2.0592,909217.19
Solana,20/10/2020,SOL,2.0552,2.108,1.8401,1.885,1933167.04
Solana,21/10/2020,SOL,1.8873,2.11,1.8415,1.8887,3222724.75
Solana,22/10/2020,SOL,1.8868,2.09,1.8481,1.9582,1624778.09
Solana,23/10/2020,SOL,1.9566,1.9902,1.85,1.959,1559992.35
Solana,24/10/2020,SOL,1.9652,1.973,1.88,1.9142,748093.83
Solana,25/10/2020,SOL,1.9175,1.9244,1.76,1.7926,1365865.99
Solana,26/10/2020,SOL,1.7925,1.8685,1.6121,1.6799,2021871.84
Solana,27/10/2020,SOL,1.6771,1.75,1.5906,1.711,2591095.37
Solana,28/10/2020,SOL,1.7084,1.7255,1.4508,1.518,3354618.28
Solana,29/10/2020,SOL,1.5166,1.5754,1.4148,1.4327,1233628.05
Solana,30/10/2020,SOL,1.4328,1.4726,1.3163,1.4381,1401628.09
Solana,31/10/2020,SOL,1.4383,1.558,1.4266,1.5497,851989.58
Solana,01/11/2020,SOL,1.5497,1.6463,1.5137,1.608,960664.24
Solana,02/11/2020,SOL,1.6076,1.6432,1.4621,1.4738,867738.07
Solana,03/11/2020,SOL,1.4729,1.484,1.4062,1.4118,983164.88
Solana,04/11/2020,SOL,1.4123,1.4144,1.2733,1.3912,2560523.86
Solana,05/11/2020,SOL,1.3895,1.4928,1.3,1.4007,1598492.56
Solana,06/11/2020,SOL,1.403,1.9482,1.3946,1.9,3846546.9
Solana,07/11/2020,SOL,1.9069,2.4975,1.8276,2.0215,8862610.63
Solana,08/11/2020,SOL,2.0264,2.2825,1.9608,2.1558,4800345.92
Solana,09/11/2020,SOL,2.1515,2.1991,1.9456,2.0299,3050443.52
Solana,10/11/2020,SOL,2.0383,2.3257,2.008,2.2661,2119423.36
Solana,11/11/2020,SOL,2.2665,2.3,1.9673,2,1863686.19
Solana,12/11/2020,SOL,2,2.06,1.825,1.9089,1522310.89
Solana,13/11/2020,SOL,1.9089,2.0808,1.8997,2.0141,1595684.08
Solana,14/11/2020,SOL,2.0222,2.0374,1.869,1.9182,1191847.42
Solana,15/11/2020,SOL,1.9204,2.218,1.9133,2.0407,3348186.49
Solana,16/11/2020,SOL,2.039,2.37,1.9858,2.2626,3192029.56
Solana,17/11/2020,SOL,2.2665,2.33,2.125,2.1998,2311120.85
Solana,18/11/2020,SOL,2.1962,2.2173,2.0001,2.1153,2054379.16
Solana,19/11/2020,SOL,2.1122,2.1848,2.0136,2.085,1391861.95
Solana,20/11/2020,SOL,2.0841,2.2387,2.0521,2.1033,1589414.51
Solana,21/11/2020,SOL,2.0999,2.51,2.0351,2.3822,2963489.5
Solana,22/11/2020,SOL,2.3825,2.4201,2.04,2.1514,2448127.25
Solana,23/11/2020,SOL,2.161,2.3635,2.112,2.2786,2094160.76
Solana,24/11/2020,SOL,2.2786,2.4731,2.1338,2.2823,3534792.04
Solana,25/11/2020,SOL,2.2795,2.49,2.1703,2.2661,3597681.61
Solana,26/11/2020,SOL,2.2653,2.3101,1.7212,1.9111,6803274.72
Solana,27/11/2020,SOL,1.9117,2.04,1.7694,1.861,1802241.32
Solana,28/11/2020,SOL,1.8644,1.94,1.8016,1.8868,1381390.77
Solana,29/11/2020,SOL,1.8858,1.947,1.85,1.9153,862711.64
Solana,30/11/2020,SOL,1.9184,2.0182,1.9034,1.9665,1094620.01
Solana,01/12/2020,SOL,1.9641,2.1404,1.9168,1.9738,2102911.64
Solana,02/12/2020,SOL,1.9702,2.2098,1.9333,2.1209,2203748.48
Solana,03/12/2020,SOL,2.119,2.2279,2.074,2.0967,3182362.33
Solana,04/12/2020,SOL,2.0967,2.1123,1.836,1.8535,1424943.39
Solana,05/12/2020,SOL,1.8507,1.983,1.82,1.9795,1087998.4
Solana,06/12/2020,SOL,1.9795,1.9907,1.7956,1.8505,1125736.37
Solana,07/12/2020,SOL,1.8515,1.899,1.8088,1.8272,962743.7
Solana,08/12/2020,SOL,1.8301,1.8301,1.6211,1.6631,2296665.59
Solana,09/12/2020,SOL,1.66,1.6777,1.5,1.6592,2093499.32
Solana,10/12/2020,SOL,1.6599,1.6664,1.5395,1.5683,1061425.89
Solana,11/12/2020,SOL,1.5739,1.5774,1.4328,1.4389,1429080.75
Solana,12/12/2020,SOL,1.4368,1.5382,1.4366,1.4912,1423640.73
Solana,13/12/2020,SOL,1.4909,1.7,1.4578,1.5701,1749534.43
Solana,14/12/2020,SOL,1.5651,1.6253,1.5224,1.5946,1503571.44
Solana,15/12/2020,SOL,1.594,1.8039,1.5875,1.7586,3562068.86
Solana,16/12/2020,SOL,1.7577,1.7919,1.6025,1.7829,3098111.32
Solana,17/12/2020,SOL,1.78,1.8064,1.6382,1.68,2528060.41
Solana,18/12/2020,SOL,1.6769,1.7077,1.6307,1.7014,1127224.49
Solana,19/12/2020,SOL,1.6987,1.7677,1.6595,1.6707,1332107.96
Solana,20/12/2020,SOL,1.6706,1.6889,1.521,1.5635,1368277.59
Solana,21/12/2020,SOL,1.5605,1.62,1.49,1.5331,1265977.95
Solana,22/12/2020,SOL,1.5354,1.5799,1.47,1.49,2035459.3
Solana,23/12/2020,SOL,1.49,1.5126,1.0301,1.198,4351555.9
Solana,24/12/2020,SOL,1.1987,1.3888,1.1652,1.3612,1784967.07
Solana,25/12/2020,SOL,1.3641,1.4599,1.3417,1.4464,1391332.89
Solana,26/12/2020,SOL,1.4488,1.4497,1.3118,1.3258,912192.33
Solana,27/12/2020,SOL,1.324,1.417,1.2616,1.3037,2170898.45
Solana,28/12/2020,SOL,1.3041,1.5223,1.2867,1.5172,2158620.57
Solana,29/12/2020,SOL,1.5187,1.735,1.4388,1.6704,4870104.61
Solana,30/12/2020,SOL,1.6734,1.6903,1.5235,1.535,2171296.28
Solana,31/12/2020,SOL,1.5337,1.5523,1.42,1.5073,2169627.35
Solana,01/01/2021,SOL,1.5088,1.86,1.499,1.8421,4421991.45
Solana,02/01/2021,SOL,1.8421,2,1.7116,1.7999,5253819.62
Solana,03/01/2021,SOL,1.7998,2.38,1.7973,2.1779,8318341.13
Solana,04/01/2021,SOL,2.1789,2.4989,1.86,2.4909,7800814.8
Solana,05/01/2021,SOL,2.4911,2.5093,2.0621,2.1636,6702006.99
Solana,06/01/2021,SOL,2.1636,2.189,1.9017,1.9414,8451529.47
Solana,07/01/2021,SOL,1.9404,2.65,1.9214,2.3635,30861006.24
Solana,08/01/2021,SOL,2.3655,3.8,2.175,3.2214,29866396.67
Solana,09/01/2021,SOL,3.212,3.6998,2.93,3.3829,9881188.65
Solana,10/01/2021,SOL,3.3734,3.7517,3.1556,3.449,5819813.51
Solana,11/01/2021,SOL,3.4455,3.5282,2.5795,3.1016,8734261.68
Solana,12/01/2021,SOL,3.1016,3.88,3.058,3.6354,7075911.68
Solana,13/01/2021,SOL,3.6354,3.637,3.2633,3.5242,5123655.8
Solana,14/01/2021,SOL,3.5243,3.5955,3.1814,3.2921,6422109.73
Solana,15/01/2021,SOL,3.2921,3.4489,2.9618,3.2475,4812542.83
Solana,16/01/2021,SOL,3.2479,3.7081,3.2463,3.4247,8562549.63
Solana,17/01/2021,SOL,3.4251,3.9876,3.3,3.8268,8531899.81
Solana,18/01/2021,SOL,3.8243,4.17,3.6167,3.7868,6226924.77
Solana,19/01/2021,SOL,3.7873,4.0498,3.6,3.6287,4768719.77
Solana,20/01/2021,SOL,3.6288,3.7413,3.34,3.7166,4801640.28
Solana,21/01/2021,SOL,3.7199,3.7411,2.9717,2.9899,4375407.94
Solana,22/01/2021,SOL,2.9893,3.4992,2.5295,3.3352,6481502.65
Solana,23/01/2021,SOL,3.3302,3.6,3.3056,3.5079,2269454.7
Solana,24/01/2021,SOL,3.5018,3.79,3.4781,3.6278,2457759.67
Solana,25/01/2021,SOL,3.6287,3.9928,3.4398,3.7038,6791542.33
Solana,26/01/2021,SOL,3.7036,4.097,3.6478,4.041,6618303.9
Solana,27/01/2021,SOL,4.0418,4.0422,3.5114,3.675,2491757.82
Solana,28/01/2021,SOL,3.664,3.96,3.6,3.81,2055425.01
Solana,29/01/2021,SOL,3.8092,3.912,3.6,3.8293,2992168.86
Solana,30/01/2021,SOL,3.8301,4.3179,3.7667,4.228,3944655.04
Solana,31/01/2021,SOL,4.228,4.805,4.154,4.2525,5438870.48
Solana,01/02/2021,SOL,4.2568,4.617,4.1075,4.6148,2097052.47
Solana,02/02/2021,SOL,4.6148,5.4026,4.4632,5.2331,5278922.61
Solana,03/02/2021,SOL,5.243,5.783,5.0513,5.7311,3977458.72
Solana,04/02/2021,SOL,5.7339,6.5426,5.5676,6.4085,5609382.39
Solana,05/02/2021,SOL,6.4181,7.1438,6.4086,6.7005,4235525.49
Solana,06/02/2021,SOL,6.7001,6.8181,5.7,6.1225,5040208.25
Solana,07/02/2021,SOL,6.1219,6.8807,5.75,6.6976,5111066.89
Solana,08/02/2021,SOL,6.6931,8.078,6.4554,7.855,6719151.08
Solana,09/02/2021,SOL,7.8651,8.4945,7.55,7.8005,4803489.37
Solana,10/02/2021,SOL,7.8005,9.09,7.26,9.09,4419421.79
