Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
Cardano,ADA,02/10/2017 23:59,0.0300877,0.019969299,0.024607001,0.0259318,57641300,628899051.8
Cardano,ADA,03/10/2017 23:59,0.0274252,0.020689899,0.025756599,0.020815801,16997800,539692714.9
Cardano,ADA,04/10/2017 23:59,0.0228063,0.020864099,0.020864099,0.021931499,9000050,568619547.5
Cardano,ADA,05/10/2017 23:59,0.022153599,0.020859299,0.021951299,0.0214887,5562510,557139040.7
Cardano,ADA,06/10/2017 23:59,0.021541899,0.0183597,0.0213589,0.018539101,7780710,480664553.4
Cardano,ADA,07/10/2017 23:59,0.0210503,0.017619999,0.018413899,0.0209409,7411240,542936191.4
Cardano,ADA,08/10/2017 23:59,0.023597701,0.0201474,0.0209294,0.0204772,7727460,530913808.8
Cardano,ADA,09/10/2017 23:59,0.0228072,0.020342,0.0203443,0.022113699,4663310,573343459.8
Cardano,ADA,10/10/2017 23:59,0.0224461,0.0212793,0.022112099,0.021531301,2725600,558243533.9
Cardano,ADA,11/10/2017 23:59,0.022575701,0.0209764,0.02148,0.022519501,3606720,583864665
Cardano,ADA,12/10/2017 23:59,0.026763201,0.021825099,0.0225385,0.0262521,8680640,680640048.5
Cardano,ADA,13/10/2017 23:59,0.033815999,0.025195399,0.0260609,0.033640999,15613600,872212580
Cardano,ADA,14/10/2017 23:59,0.038267799,0.029255301,0.0338763,0.032464899,27853200,841719752.3
Cardano,ADA,15/10/2017 23:59,0.033641201,0.028694401,0.032873601,0.030048599,7104990,779072171.8
Cardano,ADA,16/10/2017 23:59,0.0307492,0.0285767,0.029938901,0.028948201,6196030,750542023.3
Cardano,ADA,17/10/2017 23:59,0.029627999,0.0254815,0.028952699,0.0272175,7039900,705670042.4
Cardano,ADA,18/10/2017 23:59,0.0273598,0.024637301,0.027219299,0.026690699,2336180,692011661.6
Cardano,ADA,19/10/2017 23:59,0.0271117,0.025771599,0.026704499,0.0270319,2897720,700857978.1
