Date(UTC),Pair,Side,Price,Executed,Amount,Fee,Amount($)
05/04/2021 16:05,ONEUSDT,BUY,0.16,63.5000000000ONE,10.26414000USDT,0.0635000000ONE,10.26414
05/04/2021 16:03,XMRUSDT,SELL,264.65,0.0382600000XMR,10.12550900USDT,0.0101255100USDT,10.125509
05/04/2021 15:55,AVAXUSDT,SELL,31.8,0.3200000000AVAX,10.17558400USDT,0.0101755800USDT,10.175584
05/04/2021 15:50,VETUSDT,SELL,0.1,191.0000000000VET,19.86820200USDT,0.0198682000USDT,19.868202
04/04/2021 20:38,ONEUSDT,BUY,0.16,64.5000000000ONE,10.16584500USDT,0.0645000000ONE,10.165845
04/04/2021 20:10,ZILUSDT,SELL,0.22,46.9000000000ZIL,10.17870700USDT,0.0101787100USDT,10.178707
02/04/2021 23:47,ETHUSDT,BUY,2133,0.0311700000ETH,66.48561000USDT,0.0000311700ETH,66.48561
02/04/2021 23:27,ETHUSDT,SELL,2141.64,0.0310600000ETH,66.51933840USDT,0.0665193400USDT,66.5193384
02/04/2021 13:31,BTCUSDT,BUY,59277.63,0.0000010000BTC,0.05927763USDT,0.0000012800BNB,0.05927763
02/04/2021 13:31,BTCUSDT,BUY,59277.63,0.0023200000BTC,137.52410160USDT,0.0002987600BNB,137.5241016
30/03/2021 16:07,MANAUSDT,BUY,1.08,45.8000000000MANA,49.38110200USDT,0.0001260000BNB,49.381102
30/03/2021 16:06,ETHUSDT,SELL,1829.39,0.0270100000ETH,49.41182390USDT,0.0001260600BNB,49.4118239
30/03/2021 16:03,SUPERUSDT,BUY,4.12,5.5180000000SUPER,22.73967800USDT,0.0000576800BNB,22.739678
30/03/2021 16:01,OGNUSDT,BUY,1.81,11.1000000000OGN,20.13429000USDT,0.0000509400BNB,20.13429
30/03/2021 13:17,BNBUSDT,BUY,295.71,0.1050000000BNB,31.04985450USDT,0.0000787500BNB,31.0498545
29/03/2021 23:12,OCEANUSDT,BUY,1.53,12.8700000000OCEAN,19.64348100USDT,0.0000537700BNB,19.643481
29/03/2021 23:06,CAKEUSDT,BUY,17.12,1.2000000000CAKE,20.54400000USDT,0.0000561800BNB,20.544
29/03/2021 14:41,ROSEUSDT,BUY,0.18,111.8000000000ROSE,20.08487000USDT,0.0000551800BNB,20.08487
28/03/2021 21:27,XMRUSDT,BUY,230.63,0.0869500000XMR,20.05327850USDT,0.0000566800BNB,20.0532785
28/03/2021 17:45,BNBUSDT,BUY,268.16,0.1530000000BNB,41.02855650USDT,0.0001147500BNB,41.0285565
27/03/2021 22:32,FILUSDT,BUY,135.15,0.1400000000FIL,18.92098600USDT,0.0000523700BNB,18.920986
27/03/2021 22:18,ONEUSDT,BUY,0.17,125.2000000000ONE,21.43799600USDT,0.0000592300BNB,21.437996
27/03/2021 22:17,OXTUSDT,BUY,0.67,31.4400000000OXT,21.20628000USDT,0.0000586300BNB,21.20628
26/03/2021 15:40,CHZUSDT,BUY,0.52,80.8000000000CHZ,41.66856000USDT,0.0001260100BNB,41.66856
26/03/2021 15:37,AVAXUSDT,BUY,28.27,0.7400000000AVAX,20.92150200USDT,0.0000632900BNB,20.921502
26/03/2021 15:17,INJUSDT,BUY,11.26,1.6900000000INJ,19.02956900USDT,0.0000578100BNB,19.029569
26/03/2021 15:15,MATICUSDT,BUY,0.33,62.0000000000MATIC,20.26160000USDT,0.0000612600BNB,20.2616
26/03/2021 15:05,BATUSDT,BUY,1.06,19.7900000000BAT,20.94573600USDT,0.0000633600BNB,20.945736
26/03/2021 15:00,THETAUSDT,SELL,12.46,1.7000000000THETA,21.18898700USDT,0.0000639300BNB,21.188987
26/03/2021 14:59,ZILUSDT,BUY,0.17,99.9000000000ZIL,16.66731600USDT,0.0000501900BNB,16.667316
26/03/2021 14:57,ADAUSDT,BUY,1.21,23.9000000000ADA,28.98114000USDT,0.0000872300BNB,28.98114
26/03/2021 14:54,ENJUSDT,BUY,2.26,17.8000000000ENJ,40.20824200USDT,0.0001214700BNB,40.208242
26/03/2021 14:49,LINKUSDT,BUY,26.37,1.8800000000LINK,49.57334400USDT,0.0001494100BNB,49.573344
26/03/2021 14:46,UNIUSDT,BUY,28.13,1.7900000000UNI,50.34625600USDT,0.0001514300BNB,50.346256
26/03/2021 14:43,SNXUSDT,BUY,17.29,2.8740000000SNX,49.67996400USDT,0.0001496100BNB,49.679964
26/03/2021 14:39,LINAUSDT,BUY,0.13,161.1600000000LINA,21.74048400USDT,0.0000655500BNB,21.740484
26/03/2021 14:38,1INCHUSDT,BUY,3.96,5.74000000001INCH,22.70284800USDT,0.0000684600BNB,22.702848
26/03/2021 14:30,DOTUSDT,BUY,31.72,1.6900000000DOT,53.61356000USDT,0.0001612200BNB,53.61356
24/03/2021 18:39,UNIUSDT,BUY,30.33,0.6600000000UNI,20.02004400USDT,0.0000577800BNB,20.020044
24/03/2021 18:36,VETUSDT,SELL,0.09,219.0000000000VET,20.34707100USDT,0.0000585300BNB,20.347071
24/03/2021 00:16,DOTUSDT,BUY,33.93,0.3000000000DOT,10.17960000USDT,0.0000302000BNB,10.1796
23/03/2021 22:26,SNXUSDT,BUY,17.42,0.5780000000SNX,10.07107200USDT,0.0000295500BNB,10.071072
23/03/2021 22:20,AAVEUSDT,BUY,331.68,0.0310000000AAVE,10.28198700USDT,0.0000301900BNB,10.281987
23/03/2021 21:59,RSRUSDT,BUY,0.08,127.4000000000RSR,10.40858000USDT,0.0000307700BNB,10.40858
23/03/2021 21:05,BNBUSDT,BUY,254.1,0.0800000000BNB,20.32789600USDT,0.0000600000BNB,20.327896
23/03/2021 20:42,VETUSDT,SELL,0.08,248.0000000000VET,20.36352800USDT,0.0203635300USDT,20.363528
23/03/2021 19:26,THETAUSDT,SELL,13.2,1.7000000000THETA,22.44120700USDT,0.0224412100USDT,22.441207
21/03/2021 19:03,AVAXUSDT,BUY,33.17,0.3200000000AVAX,10.61315200USDT,0.0003200000AVAX,10.613152
21/03/2021 19:02,STMXUSDT,BUY,0.06,162.0000000000STMX,10.46584800USDT,0.1620000000STMX,10.465848
