Date(UTC),Pair,Side,Price,Executed,Amount,Fee,Amount($)
06/05/2021 14:46,SOLUSDT,BUY,43.83,1.1570000000SOL,50.71131000USDT,0.0000592800BNB,50.71131
06/05/2021 14:30,DOGEUSDT,BUY,0.61,85.6000000000DOGE,52.23312000USDT,0.0000610600BNB,52.23312
06/05/2021 14:29,THETAUSDT,BUY,11,5.9260000000THETA,65.20970400USDT,0.0000761800BNB,65.209704
06/05/2021 14:29,MATICUSDT,BUY,0.79,66.8000000000MATIC,52.50279600USDT,0.0000613400BNB,52.502796
06/05/2021 14:29,MATICUSDT,BUY,0.79,0.3000000000MATIC,0.23579100USDT,0.0000002700BNB,0.235791
06/05/2021 14:25,BTCUSDT,BUY,57136.15,0.0026800000BTC,153.12488200USDT,0.0001792000BNB,153.124882
06/05/2021 14:21,IOTAUSDT,SELL,2.17,7.6500000000IOTA,16.62574500USDT,0.0000194100BNB,16.625745
06/05/2021 14:18,ZILUSDT,SELL,0.25,77.6000000000ZIL,19.11132800USDT,0.0000223500BNB,19.111328
05/05/2021 19:44,INJUSDT,BUY,19.64,2.2210000000INJ,43.61599800USDT,0.0000507400BNB,43.615998
05/05/2021 10:47,FETUSDT,BUY,0.59,85.3000000000FET,50.07536500USDT,0.0000581700BNB,50.075365
02/05/2021 19:06,UNIUSDT,SELL,42.53,0.6660000000UNI,28.32764400USDT,0.0000340000BNB,28.327644
02/05/2021 18:40,PROMBNB,BUY,0.11,0.1000000000PROM,0.01085000BNB,0.0000081500BNB,0.01085
02/05/2021 18:40,PROMBNB,BUY,0.11,0.9000000000PROM,0.09765000BNB,0.0000737700BNB,0.09765
02/05/2021 18:32,XVSUSDT,BUY,127.37,0.2830000000XVS,36.04599300USDT,0.0000431800BNB,36.045993
02/05/2021 15:47,GRTUSDT,BUY,1.61,30.7600000000GRT,49.50514400USDT,0.0000594600BNB,49.505144
01/05/2021 18:15,BAKEUSDT,BUY,6.58,7.2000000000BAKE,47.35584000USDT,0.0000576600BNB,47.35584
01/05/2021 18:14,ETHUSDT,SELL,2922.33,0.0163400000ETH,47.75087220USDT,0.0000577400BNB,47.7508722
30/04/2021 17:22,BNBUSDT,BUY,609.42,0.1189000000BNB,72.46003800USDT,0.0000891700BNB,72.460038
30/04/2021 17:18,PROMBNB,SELL,0.14,0.5000000000PROM,0.06769500BNB,0.0000507700BNB,0.067695
30/04/2021 14:51,GRTUSDT,BUY,1.57,32.0300000000GRT,50.39279900USDT,0.0000625200BNB,50.392799
30/04/2021 14:29,MATICUSDT,SELL,0.83,36.1000000000MATIC,29.98502100USDT,0.0000370500BNB,29.985021
29/04/2021 14:07,PROMBNB,BUY,0.06,1.0000000000PROM,0.05726000BNB,0.0000430500BNB,0.05726
29/04/2021 13:28,SOLUSDT,BUY,43.58,1.7450000000SOL,76.04710000USDT,0.0000947700BNB,76.0471
28/04/2021 20:26,VETUSDT,BUY,0.2,285.9000000000VET,56.33659500USDT,0.0000755400BNB,56.336595
28/04/2021 20:20,BNBUSDT,BUY,556.93,0.1734000000BNB,96.57166200USDT,0.0001300500BNB,96.571662
28/04/2021 20:06,ETHUSDT,SELL,2738.45,0.0371800000ETH,101.81557100USDT,0.0001350900BNB,101.815571
28/04/2021 13:05,MATICUSDT,BUY,0.72,30.4000000000MATIC,21.74876800USDT,0.0000291800BNB,21.748768
28/04/2021 12:04,UNIUSDT,SELL,40.94,0.4680000000UNI,19.16085600USDT,0.0000257700BNB,19.160856
28/04/2021 02:12,ENJUSDT,SELL,2.62,19.2600000000ENJ,50.51127600USDT,0.0000658200BNB,50.511276
28/04/2021 01:59,ETHUSDT,SELL,2702.5,0.0385900000ETH,104.28947500USDT,0.0001357800BNB,104.289475
28/04/2021 01:50,SOLUSDT,BUY,43.56,0.5760000000SOL,25.08768000USDT,0.0000326700BNB,25.08768
28/04/2021 01:46,DOGEUSDT,BUY,0.27,91.5000000000DOGE,24.69036000USDT,0.0000321000BNB,24.69036
28/04/2021 01:41,CAKEUSDT,SELL,36.79,0.4920000000CAKE,18.10018800USDT,0.0000234800BNB,18.100188
28/04/2021 01:38,BNBUSDT,BUY,578.63,0.0702000000BNB,40.61982600USDT,0.0000526500BNB,40.619826
28/04/2021 01:37,MANAUSDT,SELL,1.47,13.2500000000MANA,19.52652500USDT,0.0000253000BNB,19.526525
28/04/2021 01:30,MATICUSDT,SELL,0.75,67.2000000000MATIC,50.28643200USDT,0.0000653400BNB,50.286432
27/04/2021 15:53,MATICUSDT,SELL,0.61,49.2000000000MATIC,29.78666400USDT,0.0000393700BNB,29.786664
26/04/2021 05:07,MATICUSDT,SELL,0.48,85.0000000000MATIC,40.54585000USDT,0.0000575100BNB,40.54585
25/04/2021 18:10,THETAUSDT,BUY,9.2,2.5750000000THETA,23.69000000USDT,0.0000348300BNB,23.69
25/04/2021 18:05,MANAUSDT,BUY,1.13,17.7800000000MANA,20.17496600USDT,0.0000298400BNB,20.174966
25/04/2021 17:58,INJUSDT,SELL,16.98,1.0080000000INJ,17.11684800USDT,0.0000251700BNB,17.116848
25/04/2021 13:54,CAKEUSDT,SELL,30.55,0.8690000000CAKE,26.54795000USDT,0.0000391800BNB,26.54795
23/04/2021 17:43,ENJUSDT,BUY,2.07,9.0000000000ENJ,18.60759000USDT,0.0000277200BNB,18.60759
23/04/2021 17:43,ENJUSDT,BUY,2.07,10.6000000000ENJ,21.94549800USDT,0.0000326400BNB,21.945498
23/04/2021 17:42,VETUSDT,BUY,0.19,253.0000000000VET,47.44154800USDT,0.0000706500BNB,47.441548
23/04/2021 03:14,ETHUSDT,BUY,2261.99,0.1776400000ETH,401.81990360USDT,0.0006110700BNB,401.8199036
22/04/2021 13:32,VETUSDT,BUY,0.23,213.0000000000VET,48.40765800USDT,0.0000633600BNB,48.407658
22/04/2021 13:28,ENJUSDT,BUY,2.54,20.9000000000ENJ,53.13427900USDT,0.0000695700BNB,53.134279
22/04/2021 13:25,ETHUSDT,SELL,2580.53,0.0796500000ETH,205.53921450USDT,0.0002698700BNB,205.5392145
22/04/2021 13:24,CAKEUSDT,BUY,27.87,2.0690000000CAKE,57.67130600USDT,0.0000756000BNB,57.671306
22/04/2021 13:18,ETHUSDT,SELL,2562.13,0.0784500000ETH,200.99909850USDT,0.0002646500BNB,200.9990985
22/04/2021 13:16,UNIUSDT,SELL,36.72,0.6900000000UNI,25.33887000USDT,0.0000334700BNB,25.33887
22/04/2021 13:15,INJUSDT,SELL,18.53,0.8100000000INJ,15.00695100USDT,0.0000198100BNB,15.006951
21/04/2021 15:33,ETHUSDT,SELL,2422.27,0.0835300000ETH,202.33221310USDT,0.0002630800BNB,202.3322131
21/04/2021 13:07,MATICUSDT,BUY,0.34,89.1000000000MATIC,30.45794400USDT,0.0000390700BNB,30.457944
21/04/2021 13:05,AAVEUSDT,BUY,357.37,0.0280000000AAVE,10.00633200USDT,0.0000128600BNB,10.006332
21/04/2021 13:00,AVAXUSDT,BUY,27.04,0.7400000000AVAX,20.00960000USDT,0.0000256900BNB,20.0096
21/04/2021 13:00,1INCHUSDT,BUY,5.11,3.89000000001INCH,19.89540500USDT,0.0000253200BNB,19.895405
21/04/2021 12:49,ADAUSDT,BUY,1.24,20.4000000000ADA,25.36882800USDT,0.0000328200BNB,25.368828
21/04/2021 12:43,CAKEUSDT,SELL,27.79,1.2000000000CAKE,33.35160000USDT,0.0000430500BNB,33.3516
21/04/2021 12:42,INJUSDT,SELL,15.39,0.9300000000INJ,14.31363000USDT,0.0000184800BNB,14.31363
21/04/2021 12:41,ATOMUSDT,BUY,20.24,1.0090000000ATOM,20.42115100USDT,0.0000264000BNB,20.421151
21/04/2021 12:40,EGLDUSDT,BUY,183.67,0.1070000000EGLD,19.65279700USDT,0.0000254000BNB,19.652797
21/04/2021 12:38,TRXUSDT,BUY,0.13,156.8000000000TRX,20.10332800USDT,0.0000260300BNB,20.103328
21/04/2021 12:32,KSMUSDT,BUY,353.94,0.0840000000KSM,29.73054000USDT,0.0000385300BNB,29.73054
21/04/2021 12:31,STMXUSDT,BUY,0.05,433.0000000000STMX,22.10378400USDT,0.0000287400BNB,22.103784
21/04/2021 12:27,ETHUSDT,SELL,2340.52,0.0438100000ETH,102.53818120USDT,0.0001325700BNB,102.5381812
21/04/2021 12:25,DOGEUSDT,SELL,0.31,211.0000000000DOGE,65.47002950USDT,0.0000845400BNB,65.4700295
21/04/2021 12:25,DOGEUSDT,SELL,0.31,6.0000000000DOGE,1.86170700USDT,0.0000024000BNB,1.861707
21/04/2021 10:00,DOGEUSDT,BUY,0.32,217.0000000000DOGE,69.48190270USDT,0.0000892500BNB,69.4819027
18/04/2021 05:24,ETHUSDT,BUY,2167.78,0.0462300000ETH,100.21646940USDT,0.0001620000BNB,100.2164694
17/04/2021 13:23,ETHUSDT,BUY,2387.3,0.0048200000ETH,11.50678600USDT,0.0000048200ETH,11.506786
17/04/2021 13:23,ETHUSDT,BUY,2387.3,0.0047800000ETH,11.41129400USDT,0.0000047800ETH,11.411294
17/04/2021 13:23,ETHUSDT,BUY,2387.3,0.0042100000ETH,10.05053300USDT,0.0000042100ETH,10.050533
17/04/2021 13:23,ETHUSDT,BUY,2387.3,0.0073000000ETH,17.42729000USDT,0.0000073000ETH,17.42729
17/04/2021 13:23,ETHUSDT,BUY,2387.3,0.0060800000ETH,14.51478400USDT,0.0000060800ETH,14.514784
17/04/2021 13:23,ETHUSDT,BUY,2387.3,0.0053400000ETH,12.74818200USDT,0.0000053400ETH,12.748182
17/04/2021 13:23,ETHUSDT,BUY,2387.3,0.0052900000ETH,12.62881700USDT,0.0000052900ETH,12.628817
17/04/2021 13:23,ETHUSDT,BUY,2387.3,0.0042500000ETH,10.14602500USDT,0.0000042500ETH,10.146025
17/04/2021 13:19,ADAUSDT,BUY,1.39,50.6000000000ADA,70.46050000USDT,0.0506000000ADA,70.4605
17/04/2021 13:17,MANAUSDT,SELL,1.45,14.1000000000MANA,20.37816600USDT,0.0203781700USDT,20.378166
16/04/2021 20:19,ENJUSDT,BUY,3.03,10.2000000000ENJ,30.90600000USDT,0.0102000000ENJ,30.906
16/04/2021 20:16,AVAUSDT,BUY,5.88,3.6100000000AVA,21.21741400USDT,0.0036100000AVA,21.217414
16/04/2021 20:10,CHZUSDT,SELL,0.77,39.5000000000CHZ,30.46832500USDT,0.0304683300USDT,30.468325
16/04/2021 15:46,CHZUSDT,SELL,0.64,16.8000000000CHZ,10.72663200USDT,0.0107266300USDT,10.726632
16/04/2021 13:24,THETAUSDT,SELL,15.15,2.0000000000THETA,30.29838000USDT,0.0302983800USDT,30.29838
16/04/2021 13:15,BTCUSDT,BUY,60896.22,0.0014800000BTC,90.12640560USDT,0.0000014800BTC,90.1264056
16/04/2021 13:12,ETHUSDT,BUY,2389.81,0.0825000000ETH,197.15932500USDT,0.0000825000ETH,197.159325
15/04/2021 18:32,ATOMUSDT,SELL,26.45,0.3910000000ATOM,10.34273200USDT,0.0103427300USDT,10.342732
15/04/2021 18:30,ADAUSDT,SELL,1.46,13.6000000000ADA,19.89272000USDT,0.0198927200USDT,19.89272
15/04/2021 18:29,MANAUSDT,SELL,1.23,16.3000000000MANA,20.03188500USDT,0.0200318900USDT,20.031885
15/04/2021 18:26,MATICUSDT,SELL,0.45,46.3000000000MATIC,20.84101900USDT,0.0208410200USDT,20.841019
15/04/2021 18:22,ETHUSDT,SELL,2454.06,0.0006300000ETH,1.54605780USDT,0.0015460600USDT,1.5460578
15/04/2021 18:22,ETHUSDT,SELL,2454.06,0.0641700000ETH,157.47703020USDT,0.1574770300USDT,157.4770302
15/04/2021 14:14,LINKUSDT,SELL,43.07,0.0700000000LINK,3.01501900USDT,0.0030150200USDT,3.015019
15/04/2021 14:14,LINKUSDT,SELL,43.06,2.2600000000LINK,97.32667400USDT,0.0973266700USDT,97.326674
14/04/2021 20:04,LINAUSDT,SELL,0.13,161.1600000000LINA,20.46732000USDT,0.0204673200USDT,20.46732
14/04/2021 19:53,LINKUSDT,BUY,37.29,1.4200000000LINK,52.95847400USDT,0.0014200000LINK,52.958474
14/04/2021 19:47,ETHUSDT,SELL,2327.78,0.0422000000ETH,98.23231600USDT,0.0982323200USDT,98.232316
14/04/2021 19:46,VETUSDT,SELL,0.17,65.0000000000VET,10.86033000USDT,0.0108603300USDT,10.86033
14/04/2021 10:56,ENJUSDT,BUY,2.9,6.8000000000ENJ,19.74788000USDT,0.0068000000ENJ,19.74788
13/04/2021 19:52,ETHUSDT,SELL,2299.64,0.0334900000ETH,77.01494360USDT,0.0770149400USDT,77.0149436
13/04/2021 19:51,BTCUSDT,SELL,62913.21,0.0002410000BTC,15.16208361USDT,0.0151620800USDT,15.16208361
